832;Taivalkoski;Taivalkoski;2272;1961;4233;
833;Taivassalo;Tövsala;850;817;1667;
834;Tammela;Tammela;3200;3196;6396;
837;Tampere;Tammerfors;107529;114662;222191;
838;Tarvasjoki;Tarvasjoki;984;993;1977;
844;Tervo;Tervo;846;785;1631;
845;Tervola;Tervola;1701;1569;3270;
846;Teuva;Östermark;2819;2769;5588;
848;Tohmajärvi;Tohmajärvi;2497;2340;4837;
849;Toholampi;Toholampi;1689;1673;3362;
850;Toivakka;Toivakka;1256;1196;2452;
851;Tornio;Torneå;11207;11103;22310;
853;Turku;Åbo;87057;96202;183259;
857;Tuusniemi;Tuusniemi;1409;1366;2775;
858;Tuusula;Tusby;19017;19147;38164;
859;Tyrnävä;Tyrnävä;3409;3307;6716;
886;Ulvila;Ulvsby;6635;6721;13356;
887;Urjala;Urjala;2497;2541;5038;
889;Utajärvi;Utajärvi;1545;1373;2918;
890;Utsjoki;Utsjoki;684;581;1265;
892;Uurainen;Uurainen;1866;1752;3618;
893;Uusikaarlepyy;Nykarleby;3868;3663;7531;
895;Uusikaupunki;Nystad;7757;7803;15560;
785;Vaala;Vaala;1644;1528;3172;
905;Vaasa;Vasa;33145;33437;66582;
908;Valkeakoski;Valkeakoski;10417;10755;21172;
911;Valtimo;Valtimo;1210;1151;2361;
092;Vantaa;Vanda;103188;106623;209811;
915;Varkaus;Varkaus;10832;11085;21917;
918;Vehmaa;Vehmaa;1159;1184;2343;
921;Vesanto;Vesanto;1150;1118;2268;
922;Vesilahti;Vesilahti;2305;2185;4490;
924;Veteli;Vetil;1710;1630;3340;
925;Vieremä;Vieremä;1949;1876;3825;
927;Vihti;Vichtis;14448;14565;29013;
931;Viitasaari;Viitasaari;3391;3434;6825;
934;Vimpeli;Vimpeli;1584;1544;3128;
935;Virolahti;Virolahti;1744;1694;3438;
936;Virrat;Virdois;3574;3640;7214;
941;Vårdö;Vårdö;226;217;443;
946;Vöyri;Vörå;3440;3283;6723;
976;Ylitornio;Övertorneå;2201;2199;4400;
977;Ylivieska;Ylivieska;7470;7441;14911;
980;Ylöjärvi;Ylöjärvi;16089;15990;32079;
981;Ypäjä;Ypäjä;1240;1235;2475;
989;Ähtäri;Etseri;3130;3093;6223;
992;Äänekoski;Äänekoski;10022;9942;19964;
